# Source: 00_NEW_상품라인업.xlsx
# Path: \\Nas\공용_시장조사팀\01_상품기획파트\05_상품개발\00_NEW_상품라인업.xlsx
# mtime: 2026-08-21T11:36:27
# Sheets: CQR, TSLA_ATHLIO
# Mode: low-load read_only extract

## CQR
브랜드 | 이미지 | 구모델 | 모델명 | 발주서명 | 라인1 | 라인2 | 시리즈이름(OPT) | 스타일이름 | 원단이름 | 원단 정보 | 슬로건 | PR | 1번 | 스와치 컬러 | 스와치 포즈 | 촬영리뷰 파일 | 시즌
CQR |  |  | TXS303 | 나일론립스탑여름팬츠 | Expedition | Alpinist |  | SHENANDOAH | STURD-FLEX | N87/S13 RIPSTOP | Conquer Trails, Explore Further. -> CLAIM THE PEAK | KR19111_CQTSP202_PR | 모델컷 | 블루 | 모델컷 |  | 여름
CQR |  |  | TSP600 | 라이트플렉스 | Liberator | Legacy | Negotiator | NEGOTIATOR | LITE-FLEX | P64/C34/S2 RIPSTOP | Lite The Action | KR04051_CQTSP600_PR | 모델컷 | 화이트 | 모델컷 |  | 여름
CQR |  |  | TSP620 | 라이트플렉스 | Liberator | Legacy |  | SENTINEL | LITE-FLEX | P64/C34/S2 RIPSTOP | Master The Move | KR04051_CQTSP600_PR | 모델컷 | 베이지 | 모델컷 |  | 여름
CQR |  |  | TSP640 | 라이트플렉스 | Liberator | Legacy |  | CORSAIR | LITE-FLEX | P64/C34/S2 RIPSTOP | Master The Move | KR04051_CQTSP600_PR | 모델컷 | 블루 | 모델컷 |  | 여름
CQR |  |  | TSP641 | 라이트플렉스 | Liberator | Legacy | Corsair | CORSAIR | LITE-FLEX | P64/C34/S2 RIPSTOP | Master The Move | KR04051_CQTSP600_PR | 모델컷 | 프린트 | 모델컷 |  | 여름
CQR |  |  | TXP205 | 여름도비팬츠 | Expedition | Alpinist |  | ROCKY Z |  | P90/S10 DOBBY | Climb Higher, Explore Further. | KR21111_CQTXP402_PR | 모델컷 | 화이트 | 모델컷 | 2024_11 | 사계절
CQR |  |  | TXP406 | NS드라이 | Expedition | Alpinist |  | RUNYON |  | C60/N37/S3 | Ridgeline Ranger | KR21111_CQTXP402_PR | 마네킹 | 화이트 | 마네킹 |  | 사계절
CQR |  |  | TXP410 | 어센드팬츠 | Expedition | Alpinist |  | RUNYON PRO |  | C60/N37/S3 | Beyond the Map | KR21111_CQTXP402_PR | 마네킹 | 베이지 | 마네킹 |  | 사계절
CQR |  |  | TXP411 | 어센드팬츠 | Expedition | Alpinist |  | RUNYON PRO |  | C60/N37/S3 | Beyond the Map | KR21111_CQTXP402_PR | 마네킹 | 베이지 | 마네킹 |  | 사계절
CQR |  |  | TXP305 | 나일론립스탑여름팬츠 | Expedition | Alpinist |  | SHENANDOAH |  | N87/S13 RIPSTOP | Conquer Trails, Explore Further. | KR21111_CQTXP402_PR | 마네킹 | 블루 | 마네킹 |  | 사계절
CQR |  | TFP501 / TFP502 | TFP503 | 플렉스팬츠 | Liberator | Black |  | SNEAK |  | P63/C34/S3 RIPSTOP | Silent, Swift, Superior. -> Born Swift -> Silent Experts | KR04061_CQTFP500_PR | 모델컷 | 베이지 | 모델컷 | 2025_04 | 사계절
CQR |  |  | TFP531 | 플렉스팬츠 | Liberator | Black |  |  |  | P63/C34/S3 RIPSTOP | Silent, Swift, Superior. | KR04061_CQTFP500_PR | 모델컷 | 화이트 | 확대 |  | 사계절
CQR |  |  | TFP571 | 플렉스팬츠 | Liberator | Black |  | TEMPEST |  | P63/C34/S3 RIPSTOP | Silent, Swift, Superior. -> Trained Sharp -> Silent Experts | KR04061_CQTFP500_PR | 모델컷 | 블루 | 모델컷 | 2025_04 | 사계절
CQR |  |  | TFP572 | 플렉스팬츠 | Liberator | Black |  | TEMPEST |  | P63/C34/S3 RIPSTOP | Silent, Swift, Superior. -> Trained Sharp -> Silent Experts | KR04061_CQTFP500_PR | 모델컷 | 프린트 | 모델컷 | 2025_04 | 사계절
CQR |  |  | TFP600 | 라이트플렉스 | Liberator | Black |  | NEGOTIATOR | LITE-FLEX | P64/C34/S2 RIPSTOP | AGILITY RUNS DEEP | KR04041_CQTFP600_PR | 모델컷 | 화이트 | 모델컷 | 2026_04 | 사계절
CQR |  |  | TFP620 | 라이트플렉스 | Liberator | Modern |  | SENTINEL | LITE-FLEX | P64/C34/S2 RIPSTOP |  | KR04041_CQTFP600_PR | 모델컷 | 베이지 | 모델컷 |  | 사계절
CQR |  |  | TFP621 | 라이트플렉스 | Liberator | Black |  | SENTINEL | LITE-FLEX | P64/C34/S2 | BUILT TO BREATHE | KR04041_CQTFP600_PR | 모델컷 | 베이지 | 모델컷 | 2025_09 | 사계절
CQR |  |  | TFP640 | 라이트플렉스 | Liberator | Black |  | CORSAIR | LITE-FLEX | P64/C34/S2 | GEARED FOR HEAT | KR04041_CQTFP600_PR | 모델컷 | 블루 | 모델컷 | 2025_09 | 사계절
CQR |  |  | TFP641 | 라이트플렉스 | Liberator | Black |  | CORSAIR | LITE-FLEX | P64/C34/S2 | GEARED FOR HEAT | KR04041_CQTFP600_PR | 모델컷 | 프린트 | 모델컷 | 2025_09 | 사계절
CQR |  |  | TFP680 | 라이트플렉스 | Covert |  |  | ESSENTIAL | LITE-FLEX | P64/C34/S2 RIPSTOP | Stay Vigilant | KR05031_CQTFP681_PR | 모델컷 | 화이트 | 모델컷 | 2025_11 | 사계절
CQR |  |  | TFP681 | 라이트플렉스 | Liberator | Black |  | ASSET | LITE-FLEX | P64/C34/S2 RIPSTOP | Born to Chase -> Ready for Chase | KR05031_CQTFP681_PR | 모델컷 | 베이지 | 모델컷 | 2025_03 | 사계절
CQR |  |  | TFP682 | 라이트플렉스 | Liberator | Modern |  | SQUAD | LITE-FLEX | P64/C34/S2 RIPSTOP | Born to Task -> Ready for Task | KR05031_CQTFP681_PR | 모델컷 | 블루 | 모델컷 | 2025_03 | 사계절
CQR |  |  | TFP683 | 라이트플렉스 | Liberator | Modern |  | SQUAD | LITE-FLEX | P64/C34/S2 RIPSTOP | Ready for Task | KR05031_CQTFP681_PR | 모델컷 | 프린트 | 모델컷 | 2025_11 | 사계절
CQR |  |  | HOF110 | 플란넬셔츠 | Expedition | Hunter | 체크 | STAGRIDGE |  | C100 FLANNEL | Where We Belong | KR03122_CQHOF110_PR | 바닥컷 | 베이지 | 바닥컷 | 2025_05 | 겨울
CQR |  |  | HOF113 | 플란넬셔츠 | Expedition | Hunter | 솔리드 | STAGRIDGE |  | C100 FLANNEL | The Warm Side of Wild | KR03122_CQHOF110_PR | 바닥컷 | 베이지 | 바닥컷 | 2025_05 | 겨울
CQR |  |  | HOF100 | 플란넬셔츠 | Covert |  |  |  |  | C100 FLANNEL | Stealth Vibes (for the City Mile.) | KR03122_CQHOF110_PR | 모델컷 | 화이트 | 바닥컷 | 2025_05 | 겨울
